distance,vertical_meters,stage,int_sprint_distance,profile_score,profile_score_last25k,num_cat_climbs,bonies,cobbles
206,3821,1,86,176,0,7,0,0
199,1859,2,109,109,40,6,1,0
231,1190,3,94,16,0,3,0,0
140,3904,4,19,187,56,3,1,0
177,1126,5,124,25,5,2,0,0
164,881,6,31,7,1,1,0,0
183,2334,8,59,63,13,5,0,0
199,2012,9,84,30,1,4,0,1
187,888,10,58,6,3,0,0,0
211,4177,11,65,241,93,6,1,0
204,2253,12,111,53,8,3,0,0
165,1884,13,89,53,15,2,0,0
152,4050,14,70,340,193,3,0,0
198,5071,15,37,366,215,5,0,0
189,1176,16,97,15,0,1,0,0
178,3091,17,115,177,120,3,1,0
180,3123,18,85,101,15,5,0,0
145,4512,19,22,375,155,3,0,0
133,4748,20,88,380,218,4,0,0