distance,vertical,profile_score,profile_score_last25k,gravel_cobbles,date,race_type,num_finish,gap,distance_solo
94,999,35,16,0,1/12,2,51,10,0
104,1710,87,41,0,1/13,2,29,14,0
93,1292,70,53,0,1/14,2,1,16,2.2
141,1285,57,34,0,1/27,1,3,5,0
122,217,0,0,0,2/8,2,111,25,0
113,311,0,0,0,2/9,2,110,19,0
128,1165,161,161,0,2/10,2,1,3,0
105,102,0,0,0,2/11,2,87,60,5.7
127,996,39,15,1,2/24,1,4,68,0
137,2244,147,65,1,3/2,1,1,4,0.5
158,479,11,2,1,3/10,1,1,2,0
141,2027,82,24,0,3/17,1,1,1,0
155,207,0,0,0,3/21,1,77,24,0
171,837,31,0,1,3/24,1,38,24,0
163,1401,56,17,1,3/31,1,3,9,0
149,529,2,1,1,4/6,1,5,6,0
101,1244,63,34,1,4/14,1,19,3,0
146,2111,130,61,0,4/17,1,1,2,0
153,2641,152,55,0,4/21,1,6,52,0
118,966,27,0,0,4/29,2,59,25,0
130,2285,97,18,0,4/30,2,99,320,0
142,894,18,7,0,5/1,2,1,10,5.8
114,2121,146,74,0,5/2,2,1,28,0.8
132,1953,105,85,0,5/3,2,1,2,0
139,1075,25,10,0,5/4,2,1,2,0
90,2162,183,93,0,5/5,2,1,29,5.9
140,1473,65,22,0,5/10,2,68,15,0
104,1547,97,36,0,5/11,2,1,1,0
115,1788,88,4,0,5/12,2,1,44,30
123,1134,34,15,0,5/16,2,58,42,0
123,1249,63,45,0,5/17,2,1,4,0.6
122,1002,33,3,0,5/18,2,93,789,0
122,1776,113,84,0,5/19,2,1,51,16.2
159,1317,24,8,0,5/24,2,15,53,0
143,1119,33,17,0,5/25,2,11,4,0
91,534,9,4,0,5/26,2,87,23,0
142,1940,49,9,0,6/6,2,9,229,0
140,1339,59,8,0,6/7,2,2,20,0
107,611,8,0,0,6/8,2,76,32,0
99,1238,43,7,0,6/9,2,13,3,0
59,1423,195,160,0,6/15,2,1,22,1.1
126,1823,81,44,0,6/17,2,2,115,0
128,2047,60,8,0,6/18,2,4,42,0
110,581,14,8,0,7/8,2,83,26,0
113,1182,85,82,0,7/9,2,1,6,0.7
134,1703,116,35,0,7/10,2,1,17,40
108,1145,26,4,0,7/11,2,45,125,0
159,2634,127,56,0,7/12,2,2,1,0
120,3836,373,250,0,7/13,2,1,44,9.3
117,2332,97,36,0,7/14,2,3,25,0
123,158,1,0,0,8/12,2,115,17,0
68,77,0,0,0,8/13,2,130,112,0
123,1840,109,48,0,8/14,2,3,29,0
153,1820,63,23,0,8/15,2,4,8,0
159,2245,111,27,0,8/16,2,1,21,13.5
166,3015,167,111,0,8/17,2,1,75,13.3
150,3748,356,214,0,8/18,2,1,4,0
158,2143,84,29,0,8/24,1,2,4,0
134,1763,59,11,0,9/6,2,34,16,0
102,1489,180,163,0,9/7,2,2,34,0
144,1878,74,10,0,9/8,2,2,21,0
155,314,1,0,1,10/9,2,61,13,0
148,126,0,0,0,10/10,2,5,4,0
118,467,1,1,0,10/11,2,10,4,0
140,364,6,0,0,10/12,2,59,0,0
146,1159,15,7,0,10/13,2,49,58,0
109,69,0,0,0,10/15,2,90,195,0
129,107,0,0,0,10/16,2,87,12,0
111,104,0,0,0,10/17,2,96,0,0
134,1672,106,34,0,10/20,1,2,167,0